itemGroup,condition,prime,target,primetype
1,related-TL-final,nemer,ALWAYS,related
2,unrelated-TL-internal,fruti,APPLE,unrelated
3,related-TL-final,manch,APRIL,related
4,unrelated-TL-final,uncte,AUNT,unrelated
5,unrelated-TL-final,roask,BEEF,unrelated
6,unrelated-TL-final,abovs,BELOW,unrelated
7,unrelated-TL-final,roban,BIRD,unrelated
8,related-TL-final,flosh,BLOOD,related
9,unrelated-TL-internal,skitr,BLOUSE,unrelated
10,unrelated-TL-internal,stuyd,BOOKS,unrelated
11,unrelated-TL-internal,houes,BRICK,unrelated
12,unrelated-TL-final,carsy,BRING,unrelated
13,unrelated-TL-internal,hilsl,BUMPS,unrelated
14,unrelated-TL-internal,breda,BUTTER,unrelated
15,related-TL-internal,jials,CELLS,related
16,related-TL-internal,fruad,CHEAT,related
17,related-TL-internal,mienr,COAL,related
18,related-TL-internal,jugde,COURT,related
19,related-TL-internal,rievr,CREEK,related
20,unrelated-TL-internal,thife,CROOK,unrelated
21,unrelated-TL-final,facen,CROWD,unrelated
22,related-TL-internal,faatl,DEATH,related
23,related-TL-internal,agnel,DEVIL,related
24,unrelated-TL-final,cleam,DIRTY,unrelated
25,unrelated-TL-final,nurss,DOCTOR,unrelated
26,unrelated-TL-internal,awaek,DREAM,unrelated
27,unrelated-TL-internal,lifst,DROPS,unrelated
28,unrelated-TL-internal,sobre,DRUNK,unrelated
29,unrelated-TL-internal,bacno,EGGS,unrelated
30,related-TL-final,knike,FORK,related
31,unrelated-TL-internal,empyt,FULL,unrelated
32,unrelated-TL-internal,plasy,GAMES,unrelated
33,related-TL-internal,slels,GOODS,related
34,unrelated-TL-final,coant,GUARD,unrelated
35,related-TL-internal,culry,HAIR,related
36,unrelated-TL-internal,gloev,HAND,unrelated
37,related-TL-final,lovos,HATES,related
38,unrelated-TL-final,spime,HERBS,unrelated
39,unrelated-TL-final,mounk,HORSE,unrelated
40,related-TL-internal,caeml,HUMP,related
41,related-TL-final,peirl,JEWEL,related
42,unrelated-TL-final,royat,KINGS,unrelated
43,related-TL-internal,ealry,LATE,related
44,unrelated-TL-internal,snere,LAUGH,unrelated
45,unrelated-TL-internal,teahc,LEARN,unrelated
46,related-TL-internal,hevay,LIGHT,related
47,related-TL-internal,tiegr,LION,related
